name,registry,ship_class,description
USS Valiant,NCC-1623,Constitution,"For his influential ""The Case of Jonathan Doe Starship"" article, published in the April 1973 issue 27 of the T-Negative fanzine, future Star Trek model maker Greg Jein accepted the producer's intent and endowed Valiant with the appropriately lower conjectural registry number NCC-1623. But unlike many of his other conjectural Constitution-class registry numbers, the 2006 remastered version of the series afforded no opportunity to bring this ship to canon. The reference book Star Fleet Technical Manual also listed a Constitution-class starship with the name Valiant but assigned with the registry NCC-1709. The 1973 Franz Joseph Blueprints list this ship as NCC-1709 also."
USS Intrepid,NCC-1631,Constitution,"All-Vulcan crew destroyed by a massive, spacegoing single-celled life form. The 1973 Franz Joseph Blueprints list this ship as NCC-1708."
USS Farragut,NCC-1647,Constitution,"Ship on which James Kirk served as a phaser station operator. Attacked by the dikironium cloud creature, which killed half the crew. The ship never appeared on screen and was never given a class or registry number; both come from The Star Trek Encyclopedia. The 1973 Franz Joseph Blueprints list this ship as NCC-1702."
USS Europa,NCC-1648,Nimitz,Commanded by Admiral Brett Anderson. Destroyed by a cloaked Klingon ship during the Battle at the Binary Stars.
USS Korolev,NCC-1650,Korolev,Presumable namesake ship for the class.
USS Potemkin,NCC-1657,Constitution,Participates in Richard Daystrom's M5 computer test. See USS Kongo for its ultimate fate. The 1973 Franz Joseph Blueprints list this ship as NCC-1711.
USS Clarke,NCC-1661,Malachowski,Destroyed at the Battle at the Binary Stars.
USS Excalibur,NCC-1664,Constitution,"Severely damaged and crew killed during Richard Daystrom's M5 computer test. In TOS episode ""The Ultimate Computer"", the death of its entire crew is established, however, the status of the Excalibur itself is unclear. It is not determined whether the ship was destroyed or severely damaged. The Star Trek Chronology (2nd ed., p. 88) stated that the ship was destroyed. The fourth edition of the Star Trek Encyclopedia offered two possibilities of the conditions of the Excalibur – the ship was severely damaged in (vol. 1, p. 254) or accidentally destroyed in (vol. 2, p. 329). Even though the episode itself provided no firm confirmation either way. The 1973 Franz Joseph Blueprints list this ship as NCC-1705."
USS Exeter,NCC-1672,Constitution,"All crew lost (killed by alien disease) except for Captain Ronald Tracey, who was on the planet's surface when the disease struck his crew. At the end of the series Captain James T. Kirk stated that the Exeter was an abandoned ship, being infected with the virus of Omega IV. Best estimates were that the Exeter was destroyed to keep the infection from spreading throughout the galaxy. See USS Kongo for its ultimate fate. The 1973 Franz Joseph Blueprints list this ship as NCC-1706."
USS Edison,NCC-1683,Hoover,Destroyed at the Battle at the Binary Stars.
USS Dana,NCC-1690,Hoover,Fought at the Battle at the Binary Stars.
USS Helin,NCC-1692,Miranda,Patrolled the Romulan Neutral Zone.
USS Constitution,NCC-1700,Constitution,Lead ship of the class (previously NX-1700).
USS Enterprise,NCC-1701,Constitution,"Commanded by Robert April (2245–2250), Christopher Pike (2250–2265), James T. Kirk (2265–2270, 2273–2280, 2285), Willard Decker (2270–2273, ship's commander during refit up to V'Ger incident), and Spock (2280–2285, at which time Enterprise was assigned to Starfleet Academy as a training ship). Vessel's self-destruction carried out while in orbit of the Genesis planet to prevent ship from falling into Klingon hands."
USS Enterprise,NCC-1701-B,Excelsior,Ship aboard which James T. Kirk is lost and presumed dead. First commanded by Captain Jon Harriman.
USS Enterprise,NCC-1701-C,Ambassador,Commanded by Captain Rachel Garrett presumed to be Killed In Action when the ship was destroyed defending the Klingon outpost at Narendra III from Romulan attack. Helmsman Richard Castillo assumed command of the Enterprise-C in 2366 and returned to the year 2344 where the ship was destroyed defending the Klingon outpost.
USS Enterprise,NCC-1701-D,Galaxy,Primary setting for Star Trek: The Next Generation. Captained by Jean-Luc Picard. Launched in 2363. Destroyed in 2371. Engineering section destroyed by warp core breach at Veridian III. Saucer section crash landed on Veridian III and rendered unsalvageable.
USS Enterprise,NCC-1701-E,Sovereign,"Primary setting for Star Trek: First Contact, Star Trek: Insurrection, Star Trek Nemesis and also made an appearance on Bridge Commander. Captained by Jean-Luc Picard."
USS Enterprise,NCC-1701-F,Odyssey,Commanded by Captain Va'kel Shon. Participated in the second battle for Deep Space Nine as well as the final battle against the Iconians in Star Trek: Online.
USS Pegasus,NCC-1702,Constitution,Patrolled the Klingon Neutral Zone.
USS Hood,NCC-1703,Constitution,"Participates in Richard Daystrom's M5 computer test. Destroyed by sabotage in Star Trek Continues episode 7, ""Embracing the Winds"". In episodes 10–11 ""To Boldly Go"", we find out this was done by espers. The 1973 Franz Joseph Blueprints list this ship as NCC-1707."
USS Ranger (Simulation ship),NCC-1707,Constitution refit,Another simulated Enterprise class ship used by Starfleet Academy trainees in Star Trek: Starfleet Academy.
USS Lexington,NCC-1709,Constitution,Participates in Richard Daystrom's M5 computer test. Commanded by Commodore Robert Wesley. The 1973 Franz Joseph Blueprints list this ship as NCC-1703.
USS Kongo,NCC-1710,Constitution,"In Star Trek Continues episodes 10–11 ""To Boldly Go"", the Kongo is hijacked by espers and taken to the galactic barrier. They then head for Earth with murderous intent. With the help of Romulan commander Charvanek and her Hawk's Talon, the Enterprise foils them, but not before they trick the Exeter and Potemkin into destroying each other. In their last act of defiance, the espers destroy the Kongo."
USS Kongo,NCC-1710-A,Sovereign,"The war with Starfleet took a heavy toll,The decision to bring out some of its old ship names from mothball, the USS Kongo was Commissioned on stardate:50938.10 in the year 2373 under the command of Captain Donavon until the near future. The Alphabet letter (A) was put on to the NCC-1710 hull number to honor the Kongo from the year 2293. The USS Kongo NCC-1710-A was the 2nd ship to bear the name of the Kongo. The Plaque reads as follows (""Never give up, Never Surrender"")"
USS Yorktown,NCC-1717,Constitution,Disabled by alien probe. The 1973 Franz Joseph Blueprints list this ship as NCC-1704.
USS Essex,NCC-173,Daedalus,Damaged and crashed on Mab-Bu VI.
USS Sentinel,NCC-17331,Sovereign,Appears in Star Trek: Invasion. Also mentioned in the great transaction for graviton stabilizers.
USS Horizon,NCC-176,Daedalus,"A model of this ship was on display in the school aboard Deep Space 9 in early 2369. (DS9: ""The Nagus"")."
USS Defiant,NCC-1764,Constitution,"The ship is lost in an interdimensional rift in ""The Tholian Web"". Later, it is revealed she was taken by Mirror Universe Tholians, captured by the crew of the ISS Enterprise (NX-01), and then used in the service of the Terran Empire in ""In a Mirror, Darkly"". In Star Trek Continues (episode 8, ""Still Treads the Shadow""), Defiant is duplicated during its passage through the interdimensional rift into interphasic space with only a duplicate Kirk aboard. Over the next two hundred years, it gains a sentient AI who attempts to bring it back into the prime universe. The attempt has potentially disastrous consequences and is foiled by both Kirks, the duplicate returning to interphasic space. A Defiant is mentioned, but not seen (except for a wireframe graphic) in Star Trek Discovery, Season One.Oddly, though the Defiant appears in TOS, the Star Fleet Technical Manual lists no Defiant in any of the starship classes mentioned though the book was published seven years after the fact. However, there are several classes not listed in the publication. The Defiant is listed as a Bonhomme Richard subclass of the Constitution class. In the Star Fleet Technical Manual, it lists the registry number of ""NCC-1764"" as belonging to the Galina. Since the Defiant appears in an episode, and the Galina does not, then the Defiant is the sole owner of the NCC-1764. But, one possibility is, the number was attached to the Galina after the disappearance of the Defiant."
USS Vengeance,NCC-177358,Dreadnought,Developed by Starfleet Admiral Alexander Marcus of Section 31 to combat the Klingon Empire.
USS Pilgrim,NCC-178,Daedalus,"Active in the year 2159 in the vicinity of one of Starfleet's first starbases. Appears in the Star Trek videogame ""Legacy""."
USS Mesquite,NCC-1789,Freedom,"Training ship, assigned to Starbase 1. Mentioned in Star Trek: Tactical Assault."
USS Paris,NCC-1804,Constitution refit,Destroyed in The Battle of Caleb IV.
USS Lantree,NCC-1837,Miranda,Crew died after exposure to genetically engineered humans. Destroyed by the USS Enterprise-D.
USS Tempest (simulation ship),NCC-1852,Miranda,Simulated Miranda class vessel used by Academy trainees in Star Trek: Starfleet Academy.
USS Reliant,NCC-1864,Miranda,"Ship on which Pavel Chekov serves as first officer. Assigned to Project Genesis and later hijacked by Khan Noonien Singh. Heavily damaged by USS Enterprise (NCC-1701), then destroyed by Genesis Device detonation."
USS Saratoga,NCC-1887,Miranda,Disabled by the Whale Probe.
USS Archon,NCC-189,Daedalus,Destroyed by an alien computer in 2167 near Beta III.
USS Sagittarius,NCC-1894,Archer,Commanded by Clark Terrell prior to taking command of the USS Reliant. Assigned to explore the Taurus Reach. Presumably named for the constellation.
USS Yosemite,NCC-19002,Oberth,Studied the plasma arc between binary stars.
USS Sitak,NCC-1924,Miranda,Destroyed at the Battle for Deep Space 9.
USS Tripoli,NCC-19386,Hokule‘a,Discovered by Data. Later assigned to Qualor II.
USS Soyuz,NCC-1939,Soyuz,Presumable namesake ship for the class.
USS Bozeman,NCC-1941,Soyuz,"Spends several decades caught in a temporal causality loop; Commanded by Captain Morgan Bateson (Kelsey Grammer). Named for Bozeman, Montana, launching place of humanity's first warp ship and hometown of Brannon Braga, the writer of the episode the ship appeared in. The registration number was a reference to the 1979 film 1941 due to modelmaker Greg Jein working on both projects."
USS Bozeman,NCC-1941-A,Sovereign,Successor to the first Bozeman. Participated in the Battle of Sector 001.
USS Trial,NCC-1948,Miranda,Part of a Starfleet task force at Deep Space Nine during the Klingon invasion of the Cardassian Union. Participates in the Battle for Deep Space 9.
USS Constellation,NCC-1974,Constellation,Participated in the Dominion War.
USS Explorer,NCC-1986,Constitution refit,Seen investigating the results of the Tabula Rasa Incident in the opening sequence of the video game Star Trek: New Worlds. Commanded by Captain Gibson.
USS Excelsior,NCC-2000,Excelsior,"Pathfinder and transwarp drive testbed. In The Search for Spock, the ship was dubbed ""the great experiment"" and was days away from its first test run. It was unexpectedly called into service to stop Admiral Kirk and his crew from stealing the soon to be decommissioned Enterprise. Attempting to use the transwarp drive to bring the ship back to spacedock, the Excelsior was sabotaged by Montgomery Scott and was left inoperable. Following the embarrassing failure, the Excelsior underwent repairs in spacedock before its recommission into active duty. Fails in attempt to rescue Captain James T. Kirk and Dr. Leonard McCoy from Qo'noS. Helps defeat General Chang over Khitomer. Ship aboard which Tuvok serves as science officer. Commanded by Captain Styles in Star Trek III: The Search for Spock and Captain Hikaru Sulu in Star Trek VI: The Undiscovered Country."
USS Valiant,NCC-20000,Oberth,Helps recover Enterprise-D crew at Veridian III.
USS Sydney,NCC-2005,Sydney,Presumable namesake ship for the class.
USS Paris (Simulation ship),NCC-2008,Excelsior,Simulated Excelsior class vessel used by Academy trainees in Star Trek: Starfleet Academy.
USS Jenolan,NCC-2010,Sydney,Crashed on the surface of a Dyson sphere while transporting Captain Montgomery Scott to a retirement colony. Montgomery Scott stored himself in the transporters of this starship. Destroyed.
USS Nash,NCC-20105,Sydney,Transports personnel to and from Deep Space Nine.
USS London,NCC-2012-C,Galaxy,Participates in the Battle for Deep Space 9.
USS Dallas,NCC-2019,Excelsior,"Dedication plaque states ""Last starship of her class""."
USS Samuel B. Roberts,NCC-2020,Miranda,Part of the Starfleet task force during the final battle of the Dominion war. It was brought out of mothball status just two months before the final battle after having been extensively updated. It was badly damaged in the battle but survived. It was later decommissioned again and then scrapped after being deemed too far damaged to repair and mothball again.
USS Farragut,NCC-2021,Excelsior,Transported several genetically enhanced humans to Deep Space Nine.
USS Brittain,NCC-21166,Miranda,Crew went insane due to loss of REM sleep.
USS Tiananmen,NCC-21382,Miranda,Part of the tachyon blockade during the Klingon Civil War. Went MIA while patrolling the Cardassian border during the Dominion War. Participates at the First Battle of Chin'toka. Named for the Tiananmen Square protests of 1989.
USS Repulse,NCC-2544,Excelsior,Katherine Pulaski's assignment before the USS Enterprise-D. Served in the Dominion War.
USS Roosevelt,NCC-2573,Excelsior,Destroyed at the Battle of Wolf 359.
USS Hathaway,NCC-2593,Constellation,"Decommissioned, participated in exercises against the USS Enterprise-D. Its destruction was faked in a ruse to foil Ferengi attackers. Named for the wife of William Shakespeare."
USS Zhukov,NCC-26136,Ambassador,"Made cultural observation of Alpha Laputa IV. Previous assignment of Lt. Barclay before his transfer to the Enterprise-D Supporting ship in Star Trek: Bridge Commander, commanded by an Andorian Captain Verata, the ship escorts the USS Sovereign to Starbase 12 and participates in several battles."
USS Valdemar,NCC-26198,Ambassador,Sent to the border of the Cardassian Demilitarized Zone.
USS Yamaguchi,NCC-26510,Ambassador,Destroyed by the Borg at the Battle of Wolf 359.
USS Excalibur,NCC-26517,Ambassador,Part of the tachyon blockade during the Klingon Civil War. Later commanded by Captain Mackenzie Calhoun in Star Trek: New Frontier.
USS Excalibur,NCC-26517-A,Galaxy,"Commanded by Captain Mackenzie Calhoun, primary setting for the latter part of Star Trek: New Frontier as successor to the Ambassador class ship of the same name."
USS Exeter,NCC-26531,Ambassador,"Tom Paris's assignment before being dismissed from Starfleet. Participated in the Dominion War. Later commanded by Captain Elizabeth Shelby, followed by Captain Alexandra Garbeck in Star Trek: New Frontier."
USS Gandhi,NCC-26632,Ambassador,Ship to which Thomas Riker is assigned.
USS Loma Prieta,NCC-26848-A,Ambassador,Flagship of Admiral T’Nae during Sela's assault on Vulcan in 2409.
USS Adelphi,NCC-26849,Ambassador,Crew made first contact with the Ghorusda.
USS Wellington,NCC-28473,Niagara,"Ship aboard which Ro Laren served, and where she was posted before being court-martialed. Underwent a computer system upgrade by Bynar technicians at Starbase 74."
USS Stargazer,NCC-2893,Constellation,"Jean-Luc Picard's first command. Abandoned following the Battle of Maxia, later recovered by Starfleet."
USS Raman,NCC-29487,Oberth,Lost while investigating Marijne VII.
USS Magellan,NCC-3069,Constellation,Referred to by Captain Sisko as one of the ships to protect the USS Defiant's flank.
USS Majestic,NCC-31060,Miranda,Destroyed at the Battle for Deep Space 9.
USS Trident,NCC-31347,Galaxy,Commanded by Captain Elizabeth Shelby and later by Captain Kat Mueller in Star Trek: New Frontier.
USS Bonestell,NCC-31600,Oberth,Destroyed in the Battle of Wolf 359.
USS ShirKahr,NCC-31905,Miranda,Destroyed in the First Battle of Chin'toka.
USS Nautilus,NCC-31910,Miranda,Participates in the First Battle of Chin'toka.
USS Saratoga,NCC-31911,Miranda,Ship aboard which Benjamin Sisko served as first officer. Destroyed at the Battle of Wolf 359.
USS Saratoga,NCC-31911-A,Miranda,Replaced previous Saratoga; little else known.
USS Zapata,NCC-33184,Surak,Scheduled to rendezvous with the Enterprise-D. Fought in the Dominion War.
USS Havana,NCC-34043,Istanbul,Scheduled to rendezvous with the Enterprise-D in 2369.
USS Constantinople,NCC-34852,Istanbul,Suffered a hull breach transporting colonists to Gravesworld.
USS Merced,NCC-37120,Merced,Presumable namesake ship for the class.
USS Trieste,NCC-37124,Merced,Fell through a wormhole during Data's tour of duty. Stationed near Starbase 74 when the Enterprise-D is hijacked by the Bynars.
USS Sarajevo,NCC-38529,Istanbul,Lost in the Gamma Quadrant in 2371. Later recovered and served in the Dominion War.
USS Gettysburg,NCC-3890,Constellation,"Under Captain Mark Jameson, rescued hostages from Mordan IV. Served in the Dominion War."
USS Intrepid,NCC-38907,Excelsior,Captained by Drew Dieghan. Responded to a Klingon distress call from the Khitomer outpost following a Romulan attack.
USS Crockett,NCC-38955,Excelsior,Transported Admiral Mitsuya to Deep Space Nine.
USS Malinche,NCC-38997,Excelsior,Commanded by Captain George Sanders. Patrolled the Cardassian border before the Dominion War. Severely damaged by the Maquis led by Michael Eddington. Destroyed in 2381 during the Borg Invasion.
USS Billings,NCC-3907,Constellation,Kathryn Janeway's first command.
USS Gorkon,NCC-40512,Excelsior,Sent to face a possible Borg invasion.
USS Renaissance,NCC-40521,Renaissance,Presumable namesake ship for the class.
USS Centaur,NCC-42043,Centaur,Centaur class: kitbash of the Excelsior and Miranda models.
USS Fredrickson,NCC-42111,Excelsior,Briefly at Utopia Planitia Fleet Yards. Serves in the Dominion War.
USS Cairo,NCC-42136,Excelsior,Transfers Captain Edward Jellico to the Enterprise-D.
USS Curry,NCC-42254.,Undetermined,"Pathfinder ship for the Curry class, another ""kitbash"" model."
USS Charleston,NCC-42285,Excelsior,Transported three previously cryogenically frozen people to Earth. Part of the tachyon blockade during the Klingon Civil War.
USS Hood,NCC-42296,Excelsior,William Riker's assignment before his transfer to the USS Enterprise-D. Part of the tachyon blockade during the Klingon Civil War. Participates in the Battle for Deep Space 9 and First Battle of Chin'toka. Part of Battle Group Omega sent to intercept Reman warship Scimitar.
USS Righteous,NCC-42451,Excelsior,"Believed to have been vaporized by the Borg in 2366, in reality the ship was brought ten years into the future by Q in order to save it from destruction during the Battle of Wolf 359. Under the command of Captain Nikolai Andropov in Star Trek: Borg."
USS Lakota,NCC-42768,Excelsior,Commanded by Captain Erika Benteen. Attempts to stop USS Defiant from reaching Earth under the orders of the rogue Admiral James Leyton.
USS Grissom,NCC-42857,Excelsior,"Assists the Enterprise-D during a contamination problem on Beta Agni II. Name pays tribute to astronaut Gus Grissom, commander of Apollo 1. Destroyed at the Battle of Ricktor Prime."
USS Al-Batani,NCC-42995,Excelsior,"Although it never appeared on screen, the Al-Batani is mentioned in dialogue as the first ship aboard which Kathryn Janeway served, which at the time was captained by Tom Paris' father Owen Paris. Never defined on screen, the class and registry number come from the non-canon Star Trek Encyclopedia."
USS Valley Forge,NCC-43305,Excelsior,Damaged by an orbital defense platform at the Battle of Chin'toka.
USS Wyoming,NCC-43730,Mediterranean,Ship on which Tuvok served.
USS Lalo,NCC-43837,Mediterranean,"Reports a ""hiccup"" in time that resulted from Dr. Paul Manheim's experiments. Destroyed by the Borg."
USS Archer,NCC-44278,Archer,Presumable namesake ship for the class. Presumably named for Jonathan Archer.
USS Maryland,NCC-45109,Renaissance,Missing in the Gamma Quadrant.
USS Aries,NCC-45167,Renaissance,Ship offered to William Riker to command. Part of the tachyon blockade during the Klingon Civil War.
USS Hornet,NCC-45231,Renaissance,Part of the tachyon blockade during the Klingon Civil War. Named for the World War II aircraft carrier. Participates in the Dominion War.
USS Lovell,NCC-470,Daedalus,"Dedicated vessel of the Starfleet Corps of Engineers. Appears in the novel series Star Trek: Vanguard.Likely named after Capt. James Lovell, USN, Gemini and Apollo astronaut."
USS Antares aka SS Antares,NCC-501,Antares,Rescued and is later destroyed by Charlie Evans.
USS Biko,NCC-50331,Oberth,Rendezvoused with the USS Enterprise-D at Deinonychus VII.
USS Crazy Horse,NCC-50446,Excelsior,Part of Task Force 3 sent to face an anticipated Borg invasion. Set to rendezvous with the Enterprise-D to transfer Rear Admiral Erik Pressman.
USS Appalachia,NCC-52136,Steamrunner,Participates in the Battle of Sector 001.
SS Santa Maria,NCC-529,Erewhon,Personnel Transport about 4 times the size of the Runabout. Cannibalised for parts and for use as a shelter by human settlers in a colony that rejects technology.
USS Springfield,NCC-53500,Springfield,Presumable namesake ship for the class.
USS Pegasus,NCC-53847,Oberth,"Equipped with an illegal prototype cloaking device that malfunctions, causing the ship to become embedded inside an asteroid."
SS Tsiolkovsky,NCC-53911,Oberth,Crew infected by the Psi 2000 virus. Destroyed in asteroid collision.
USS Olympic,NCC-54905,Olympic,Presumable namesake ship for the class. The namesake for this vessel is most likely the ocean liner RMS Olympic.
USS Nobel,NCC-55012,Olympic,Visited Deep Space Three to search for the missing USS Hera. Served in the Dominion War.
USS Rutledge,NCC-57295,New Orleans,Ship aboard which Miles O'Brien and Benjamin Maxwell served during the Cardassian War. Participated in the counterattack against the Klingons in the Archanis sector.
USS Chekov,NCC-57302,Springfield,Destroyed in the Battle of Wolf 359.
USS Portland,NCC-57418,Chimera,Searches the Algira sector for Odo and Elim Garak when their runabout goes missing.
USS Armstrong,NCC-57537,Challenger,"Ambushed by a Klingon battle group. Name honors astronaut Neil Armstrong, commander of Apollo 11."
USS Kearsarge,NCC-57566,Challenger,Rendezvoused with the Enterprise-D.
USS Buran,NCC-57580,Challenger,Destroyed at the Battle of Wolf 359 commanded by Captain Lorca.
USS Pasteur,NCC-58925,Olympic,"Ship commanded by Beverly Picard in an alternate timeline. Destroyed by warp core breach in the Devron system. Featured in the episode ""All Good Things...""."
USS Cochrane,NCC-59318,Oberth,Ferries Admiral Norah Satie to the Enterprise-D. and Julian Bashir and Lieutenant Jadzia Dax to Deep Space Nine.
USS Goddard,NCC-59621,Korolev,Delayed rendezvous with the Enterprise-D after the Acamarian Truce's signing. Part of the tachyon blockade during the Klingon Civil War.
USS Princeton,NCC-59804,Niagara,Destroyed at the Battle of Wolf 359.
USS Oberth,NCC-602,Oberth,"First ship of the class. Assigned to deep space exploration in 2293, when ""Operation Retrieve"" was proposed."
USS Honshū,NCC-60205,Nebula,Destroyed while transporting Gul Dukat to stand trial.
USS Farragut,NCC-60597,Nebula,Helps recover Enterprise-D crew at Veridian III. Destroyed in the Lembatta Cluster by Klingons.
USS Nightingale,NCC-60805,Nebula,Minor starship in Star Trek: Bridge Commander. Used as a search-and-rescue vessel. Fate uncertain.
USS LaGrange,NCC-617,Oberth,Transports negotiators in the game Star Trek: Starfleet Academy. This ship is destroyed by the simulator.
USS Monitor,NCC-61826,Nebula,Sent to the Romulan Neutral Zone in anticipation of a possible Romulan attack.
USS Merrimack,NCC-61827,Nebula,Transported Sarek from Legara IV to Vulcan.
USS Lexington,NCC-61832,Nebula,Participates in the Battle of Sector 001.
USS Yeager,NCC-61947,Saber,Participates in the Battle of Sector 001.
USS Proxima,NCC-61952,Nebula,Missing in the Gamma Quadrant.
USS Rigel,NCC-62000,Rigel,Presumable namesake ship for the class.
USS Hera,NCC-62006,Nebula,Disappeared while under the command of Captain Silva La Forge with a mostly Vulcan crew of 300.
USS LaSalle,NCC-6203,Deneva,Reports unusual radiation anomalies in the Gamma Arigulon system.
USS Melbourne,NCC-62043,Nebula,"Destroyed at the Battle of Wolf 359. Remains of ship visible in aftermath of the battle in Star Trek: The Next Generation episode ""The Best of Both Worlds, Part 2"". Registry and name same as Excelsior class ship seen in Star Trek: Deep Space Nine pilot episode ""Emissary""."
USS Melbourne,NCC-62043,Excelsior,"Offered to William Riker to command. Starfleet flagship at the Battle of Wolf 359, where it is destroyed."
USS Bellerephon,NCC-62048,Nebula,Destroyed at the Battle of Wolf 359.
USS Tolstoy,NCC-62095,Rigel,Destroyed in the Battle of Wolf 359.
USS T'Kumbra,NCC-62100,Nebula,All-Vulcan crew challenges the Deep Space Nine crew to a game of baseball. Participated in the Dominion War.
USS Akagi,NCC-62158,Rigel,Part of the tachyon blockade during the Klingon Civil War. Served in the Dominion War. Named for HIJMS Akagi.
USS Arcos,NCC-6237,Deneva,Destroyed by a warp core breach near Turkana IV in 2367. Crew evacuates to the planet's surface and is rescued by the Enterprise-D.
USS Renegade,NCC-63102,New Orleans,"Rendezvoused with the Enterprise-D over Dytallix B, where Captain Tryla Scott met with Jean-Luc Picard to discuss an alien conspiracy to take over Starfleet."
USS Rabin,NCC-63293,Akira,Participates in the Battle of Sector 001.
USS Summit,NCC-63546,Akira,Attempts to rescue the Enterprise-E on Gemworld. Destroyed by a dimensional rift immediately after dropping out of warp. Lost with all hands.
USS Thunderchild,NCC-63549,Akira,Participates in the Battle of Sector 001 in 2373.
USS Grissom,NCC-638,Oberth,"Transports David Marcus and Lieutenant Saavik to the Genesis planet. Destroyed by Klingons. Named for NASA astronaut Virgil I. ""Gus"" Grissom who died during preparations and testing for the Apollo One mission. Commanded by Captain J. T. Esteban."
USS Dakota,NCC-63892,Akira,Participates in the Battle of Sector 001 in 2373. Lost patrolling the border of the Cardassian Demilitarized Zone.
USS Banting (simulation ship),NCC-639,Oberth,Simulated Oberth class vessel used by Academy trainees in Star Trek: Starfleet Academy.
USS Copernicus,NCC-640,Oberth,Berthed at spacedock.
USS Delestrez,NCC-64013,Akira,Commanded by Captain Juliette; Supporting ship in Celestia Universe.
